z,dz,dm,7.0,7.5,8.0,8.5,9.0,9.5,10.0,10.5,11.0
0.0115,0.0230,2.2634,2.4645,2.4645,2.4645,2.4645,2.5242,2.6947,2.8969,3.0342,3.6595
0.0345,0.0230,0.8880,0.9703,0.9703,0.9703,0.9703,0.9943,1.0601,1.1400,1.1951,1.4464
0.0580,0.0240,0.6644,0.7287,0.7287,0.7287,0.7287,0.7472,0.7954,0.8557,0.8980,1.0907
0.0820,0.0240,0.5945,0.6545,0.6545,0.6545,0.6545,0.6716,0.7139,0.7684,0.8071,0.9840
0.1060,0.0240,0.5609,0.6201,0.6201,0.6201,0.6201,0.6366,0.6758,0.7276,0.7652,0.9364
0.1305,0.0250,0.5299,0.5883,0.5883,0.5883,0.5883,0.6044,0.6407,0.6901,0.7265,0.8927
0.1555,0.0250,0.5141,0.5732,0.5732,0.5732,0.5732,0.5893,0.6238,0.6722,0.7086,0.8742
0.1805,0.0250,0.5011,0.5613,0.5613,0.5613,0.5613,0.5775,0.6103,0.6580,0.6946,0.8606
0.2060,0.0260,0.4812,0.5417,0.5417,0.5417,0.5417,0.5577,0.5885,0.6348,0.6710,0.8350
0.2320,0.0260,0.4709,0.5327,0.5327,0.5327,0.5327,0.5489,0.5784,0.6241,0.6607,0.8260
0.2580,0.0260,0.4613,0.5247,0.5247,0.5247,0.5247,0.5410,0.5693,0.6146,0.6516,0.8183
0.2845,0.0270,0.4449,0.5088,0.5088,0.5088,0.5088,0.5251,0.5517,0.5959,0.6329,0.7985
0.3115,0.0270,0.4365,0.5020,0.5020,0.5020,0.5020,0.5185,0.5439,0.5879,0.6254,0.7930
0.3390,0.0280,0.4217,0.4879,0.4879,0.4879,0.4879,0.5044,0.5283,0.5713,0.6089,0.7759
0.3670,0.0280,0.4140,0.4820,0.4820,0.4820,0.4820,0.4987,0.5217,0.5644,0.6027,0.7720
0.3950,0.0280,0.4067,0.4765,0.4765,0.4765,0.4765,0.4935,0.5155,0.5580,0.5972,0.7689
0.4235,0.0290,0.3936,0.4643,0.4643,0.4643,0.4643,0.4814,0.5021,0.5438,0.5832,0.7549
0.4525,0.0290,0.3868,0.4596,0.4596,0.4596,0.4596,0.4769,0.4968,0.5384,0.5787,0.7531
0.4820,0.0300,0.3748,0.4486,0.4486,0.4486,0.4486,0.4660,0.4847,0.5256,0.5664,0.7411
0.5120,0.0300,0.3686,0.4444,0.4444,0.4444,0.4444,0.4622,0.4801,0.5210,0.5628,0.7406
0.5425,0.0310,0.3574,0.4345,0.4345,0.4345,0.4345,0.4523,0.4693,0.5095,0.5519,0.7304
0.5740,0.0320,0.3468,0.4251,0.4251,0.4251,0.4251,0.4431,0.4592,0.4988,0.5418,0.7213
0.6060,0.0320,0.3411,0.4218,0.4218,0.4218,0.4218,0.4402,0.4556,0.4953,0.5396,0.7226
0.6385,0.0330,0.3313,0.4134,0.4134,0.4134,0.4134,0.4319,0.4466,0.4858,0.5309,0.7152
0.6720,0.0340,0.3219,0.4054,0.4054,0.4054,0.4054,0.4241,0.4381,0.4769,0.5229,0.7088
0.7060,0.0340,0.3167,0.4030,0.4030,0.4030,0.4030,0.4220,0.4356,0.4745,0.5220,0.7120
0.7405,0.0350,0.3079,0.3958,0.3958,0.3958,0.3958,0.4152,0.4281,0.4667,0.5152,0.7071
0.7760,0.0360,0.2995,0.3892,0.3892,0.3892,0.3892,0.4087,0.4212,0.4595,0.5092,0.7032
0.8120,0.0360,0.2948,0.3875,0.3875,0.3875,0.3875,0.4075,0.4197,0.4581,0.5097,0.7083
0.8485,0.0370,0.2870,0.3815,0.3815,0.3815,0.3815,0.4018,0.4137,0.4519,0.5048,0.7058
0.8860,0.0380,0.2795,0.3761,0.3761,0.3761,0.3761,0.3966,0.4083,0.4462,0.5006,0.7043
0.9245,0.0390,0.2722,0.3710,0.3710,0.3710,0.3710,0.3919,0.4033,0.4411,0.4970,0.7038
0.9640,0.0400,0.2652,0.3663,0.3663,0.3663,0.3663,0.3875,0.3989,0.4365,0.4942,0.7041
1.0045,0.0410,0.2585,0.3620,0.3620,0.3620,0.3620,0.3836,0.3949,0.4325,0.4920,0.7054
1.0460,0.0420,0.2520,0.3581,0.3581,0.3581,0.3581,0.3801,0.3915,0.4290,0.4904,0.7075
1.0885,0.0430,0.2458,0.3546,0.3546,0.3546,0.3546,0.3770,0.3885,0.4260,0.4896,0.7106
1.1320,0.0440,0.2398,0.3514,0.3514,0.3514,0.3514,0.3742,0.3860,0.4235,0.4894,0.7146
1.1765,0.0450,0.2340,0.3485,0.3485,0.3485,0.3485,0.3718,0.3840,0.4216,0.4898,0.7195
1.2220,0.0460,0.2284,0.3460,0.3460,0.3460,0.3460,0.3698,0.3825,0.4202,0.4910,0.7254
1.2685,0.0470,0.2230,0.3439,0.3439,0.3439,0.3439,0.3682,0.3814,0.4192,0.4928,0.7321
1.3165,0.0490,0.2159,0.3392,0.3392,0.3392,0.3392,0.3639,0.3777,0.4153,0.4912,0.7338
1.3660,0.0500,0.2109,0.3378,0.3378,0.3378,0.3378,0.3631,0.3777,0.4156,0.4946,0.7428
1.4165,0.0510,0.2061,0.3368,0.3368,0.3368,0.3368,0.3626,0.3782,0.4163,0.4987,0.7528
1.4685,0.0530,0.1998,0.3334,0.3334,0.3334,0.3334,0.3598,0.3764,0.4144,0.4998,0.7581
1.5220,0.0540,0.1953,0.3331,0.3331,0.3331,0.3331,0.3601,0.3780,0.4164,0.5056,0.7704
