z,dz,dm,7.0,7.5,8.0,8.5,9.0,9.5,10.0,10.5,11.0
2.0115,0.0690,0.1925,0.4047,0.4047,0.4047,0.4047,0.4448,0.4871,0.5367,0.6915,1.0823
2.0815,0.0710,0.1878,0.4072,0.4072,0.4072,0.4072,0.4485,0.4948,0.5451,0.7078,1.1099
2.1535,0.0730,0.1832,0.4103,0.4103,0.4103,0.4103,0.4529,0.5036,0.5545,0.7257,1.1397
2.2280,0.0760,0.1779,0.4118,0.4118,0.4118,0.4118,0.4555,0.5107,0.5621,0.7415,1.1657
2.3050,0.0780,0.1737,0.4162,0.4162,0.4162,0.4162,0.4613,0.5220,0.5741,0.7634,1.2009
2.3845,0.0810,0.1688,0.4191,0.4191,0.4191,0.4191,0.4655,0.5317,0.5845,0.7834,1.2326
2.4670,0.0840,0.1641,0.4228,0.4228,0.4228,0.4228,0.4706,0.5430,0.5963,0.8057,1.2676
2.5525,0.0870,0.1596,0.4273,0.4273,0.4273,0.4273,0.4767,0.5558,0.6098,0.8306,1.3061
2.6410,0.0900,0.1553,0.4327,0.4327,0.4327,0.4327,0.4836,0.5702,0.6250,0.8581,1.3480
2.7325,0.0930,0.1511,0.4389,0.4389,0.4389,0.4389,0.4915,0.5863,0.6419,0.8882,1.3936
2.8275,0.0970,0.1465,0.4440,0.4440,0.4440,0.4440,0.4982,0.6016,0.6579,0.9175,1.4370
2.9260,0.1000,0.1427,0.4520,0.4520,0.4520,0.4520,0.5082,0.6215,0.6787,0.9540,1.4909
3.0280,0.1040,0.1385,0.4591,0.4591,0.4591,0.4591,0.5172,0.6408,0.6988,0.9899,1.5430
3.1340,0.1080,0.1345,0.4672,0.4672,0.4672,0.4672,0.5273,0.6624,0.7212,1.0296,1.6001
3.2440,0.1120,0.1307,0.4764,0.4764,0.4764,0.4764,0.5387,0.6865,0.7460,1.0732,1.6624
3.3585,0.1170,0.1266,0.4851,0.4851,0.4851,0.4851,0.5495,0.7106,0.7709,1.1172,1.7242
3.4775,0.1210,0.1231,0.4967,0.4967,0.4967,0.4967,0.5636,0.7400,0.8012,1.1699,1.7981
3.6010,0.1260,0.1194,0.5079,0.5079,0.5079,0.5079,0.5772,0.7698,0.8318,1.2235,1.8720
3.7295,0.1310,0.1158,0.5203,0.5203,0.5203,0.5203,0.5923,0.8029,0.8657,1.2825,1.9528
3.8635,0.1370,0.1121,0.5327,0.5327,0.5327,0.5327,0.6073,0.8369,0.9004,1.3434,2.0350
4.0035,0.1430,0.1085,0.5466,0.5466,0.5466,0.5466,0.6241,0.8750,0.9391,1.4110,2.1256
4.1495,0.1490,0.1051,0.5623,0.5623,0.5623,0.5623,0.6429,0.9171,0.9820,1.4857,2.2248
4.3015,0.1550,0.1019,0.5795,0.5795,0.5795,0.5795,0.6635,0.9637,1.0293,1.5677,2.3330
4.4600,0.1620,0.0986,0.5971,0.5971,0.5971,0.5971,0.6845,1.0125,1.0786,1.6538,2.4451
4.6260,0.1700,0.0952,0.6153,0.6153,0.6153,0.6153,0.7062,1.0643,1.1306,1.7450,2.5622
