z,dz,dm,7.0,7.5,8.0,8.5,9.0,9.5,10.0,10.5,11.0
0.0115,0.0230,1.1960,1.3023,1.3023,1.3023,1.3023,1.3338,1.4239,1.5308,1.6033,1.9337
0.0345,0.0230,0.6381,0.6972,0.6972,0.6972,0.6972,0.7145,0.7617,0.8192,0.8588,1.0393
0.0580,0.0240,0.5571,0.6110,0.6110,0.6110,0.6110,0.6265,0.6669,0.7175,0.7529,0.9145
0.0820,0.0240,0.5271,0.5803,0.5803,0.5803,0.5803,0.5954,0.6329,0.6812,0.7156,0.8724
0.1060,0.0240,0.5063,0.5597,0.5597,0.5597,0.5597,0.5747,0.6100,0.6568,0.6907,0.8453
0.1305,0.0250,0.4803,0.5332,0.5332,0.5332,0.5332,0.5478,0.5807,0.6255,0.6585,0.8091
0.1555,0.0250,0.4651,0.5186,0.5186,0.5186,0.5186,0.5332,0.5643,0.6081,0.6411,0.7909
0.1805,0.0250,0.4513,0.5056,0.5056,0.5056,0.5056,0.5202,0.5497,0.5927,0.6256,0.7751
0.2060,0.0260,0.4312,0.4854,0.4854,0.4854,0.4854,0.4997,0.5273,0.5688,0.6012,0.7482
0.2320,0.0260,0.4193,0.4744,0.4744,0.4744,0.4744,0.4888,0.5151,0.5558,0.5884,0.7355
0.2580,0.0260,0.4083,0.4644,0.4644,0.4644,0.4644,0.4788,0.5038,0.5439,0.5767,0.7243
0.2845,0.0270,0.3915,0.4478,0.4478,0.4478,0.4478,0.4621,0.4855,0.5244,0.5569,0.7027
0.3115,0.0270,0.3817,0.4391,0.4391,0.4391,0.4391,0.4535,0.4757,0.5141,0.5470,0.6935
0.3390,0.0280,0.3667,0.4243,0.4243,0.4243,0.4243,0.4387,0.4595,0.4969,0.5296,0.6749
0.3670,0.0280,0.3579,0.4168,0.4168,0.4168,0.4168,0.4312,0.4511,0.4880,0.5212,0.6676
0.3950,0.0280,0.3496,0.4097,0.4097,0.4097,0.4097,0.4243,0.4432,0.4798,0.5135,0.6611
