z,dz,dm,7.0,7.5,8.0,8.5,9.0,9.5,10.0,10.5,11.0
2.0115,0.0690,0.1635,0.3437,0.3437,0.3437,0.3437,0.3778,0.4137,0.4559,0.5873,0.9193
2.0815,0.0710,0.1592,0.3453,0.3453,0.3453,0.3453,0.3803,0.4195,0.4622,0.6001,0.9410
2.1535,0.0730,0.1551,0.3473,0.3473,0.3473,0.3473,0.3834,0.4262,0.4694,0.6143,0.9647
2.2280,0.0760,0.1503,0.3480,0.3480,0.3480,0.3480,0.3849,0.4316,0.4751,0.6267,0.9852
2.3050,0.0780,0.1466,0.3512,0.3512,0.3512,0.3512,0.3892,0.4404,0.4844,0.6441,1.0133
2.3845,0.0810,0.1422,0.3531,0.3531,0.3531,0.3531,0.3922,0.4479,0.4924,0.6600,1.0384
2.4670,0.0840,0.1380,0.3557,0.3557,0.3557,0.3557,0.3959,0.4567,0.5016,0.6777,1.0663
2.5525,0.0870,0.1340,0.3589,0.3589,0.3589,0.3589,0.4003,0.4668,0.5122,0.6976,1.0969
2.6410,0.0900,0.1302,0.3628,0.3628,0.3628,0.3628,0.4055,0.4781,0.5241,0.7195,1.1304
2.7325,0.0930,0.1265,0.3674,0.3674,0.3674,0.3674,0.4115,0.4908,0.5374,0.7437,1.1667
2.8275,0.0970,0.1225,0.3712,0.3712,0.3712,0.3712,0.4166,0.5030,0.5500,0.7671,1.2014
2.9260,0.1000,0.1192,0.3773,0.3773,0.3773,0.3773,0.4242,0.5188,0.5665,0.7963,1.2445
3.0280,0.1040,0.1155,0.3827,0.3827,0.3827,0.3827,0.4311,0.5341,0.5824,0.8251,1.2862
3.1340,0.1080,0.1120,0.3889,0.3889,0.3889,0.3889,0.4389,0.5514,0.6003,0.8569,1.3318
3.2440,0.1120,0.1086,0.3960,0.3960,0.3960,0.3960,0.4477,0.5705,0.6200,0.8919,1.3816
3.3585,0.1170,0.1051,0.4026,0.4026,0.4026,0.4026,0.4560,0.5898,0.6398,0.9273,1.4310
3.4775,0.1210,0.1020,0.4116,0.4116,0.4116,0.4116,0.4670,0.6132,0.6640,0.9695,1.4900
3.6010,0.1260,0.0988,0.4203,0.4203,0.4203,0.4203,0.4776,0.6370,0.6884,1.0125,1.5491
3.7295,0.1310,0.0957,0.4300,0.4300,0.4300,0.4300,0.4895,0.6634,0.7154,1.0598,1.6137
3.8635,0.1370,0.0925,0.4396,0.4396,0.4396,0.4396,0.5012,0.6907,0.7431,1.1087,1.6794
4.0035,0.1430,0.0894,0.4505,0.4505,0.4505,0.4505,0.5144,0.7211,0.7740,1.1629,1.7518
4.1495,0.1490,0.0865,0.4627,0.4627,0.4627,0.4627,0.5291,0.7548,0.8082,1.2227,1.8310
4.3015,0.1550,0.0837,0.4763,0.4763,0.4763,0.4763,0.5453,0.7920,0.8459,1.2884,1.9174
4.4600,0.1620,0.0809,0.4901,0.4901,0.4901,0.4901,0.5618,0.8310,0.8852,1.3573,2.0068
4.6260,0.1700,0.0780,0.5043,0.5043,0.5043,0.5043,0.5789,0.8724,0.9268,1.4304,2.1003
4.7995,0.1770,0.0755,0.5214,0.5214,0.5214,0.5214,0.5992,0.9204,0.9750,1.5146,2.2080
4.9810,0.1860,0.0727,0.5380,0.5380,0.5380,0.5380,0.6189,0.9694,1.0240,1.6008,2.3162
5.1710,0.1940,0.0703,0.5577,0.5577,0.5577,0.5577,0.6422,1.0259,1.0805,1.6998,2.4403
5.3700,0.2040,0.0677,0.5772,0.5772,0.5772,0.5772,0.6653,1.0844,1.1387,1.8023,2.5667
5.5790,0.2140,0.0652,0.5990,0.5990,0.5990,0.5990,0.6910,1.1497,1.2034,1.9165,2.7065
5.7985,0.2250,0.0628,0.6221,0.6221,0.6221,0.6221,0.7183,1.2204,1.2733,2.0400,2.8559
6.0290,0.2360,0.0605,0.6478,0.6478,0.6478,0.6478,0.7486,1.2992,1.3510,2.1774,3.0212
6.2710,0.2480,0.0583,0.6753,0.6753,0.6753,0.6753,0.7808,1.3847,1.4351,2.3266,3.1984
6.5255,0.2610,0.0560,0.7047,0.7047,0.7047,0.7047,0.8153,1.4779,1.5265,2.4891,3.3896
6.7935,0.2750,0.0539,0.7364,0.7364,0.7364,0.7364,0.8525,1.5800,1.6262,2.6671,3.5966
7.0760,0.2900,0.0517,0.7706,0.7706,0.7706,0.7706,0.8925,1.6921,1.7353,2.8624,3.8215
7.3740,0.3060,0.0497,0.8078,0.8078,0.8078,0.8078,0.9360,1.8156,1.8552,3.0776,4.0667
7.6890,0.3240,0.0476,0.8472,0.8472,0.8472,0.8472,0.9820,1.9499,1.9850,3.3117,4.3300
8.0220,0.3420,0.0457,0.8913,0.8913,0.8913,0.8913,1.0335,2.1014,2.1310,3.5755,4.6244
8.3745,0.3630,0.0438,0.9376,0.9376,0.9376,0.9376,1.0874,2.2649,2.2880,3.8606,4.9380
8.7480,0.3840,0.0419,0.9895,0.9895,0.9895,0.9895,1.1479,2.4501,2.4652,4.1833,5.2900
9.1440,0.4080,0.0401,1.0447,1.0447,1.0447,1.0447,1.2120,2.6522,2.6577,4.5355,5.6690
9.5650,0.4340,0.0383,1.1048,1.1048,1.1048,1.1048,1.2819,2.8770,2.8711,4.9277,6.0858
10.0125,0.4610,0.0366,1.1715,1.1715,1.1715,1.1715,1.3594,3.1304,3.1109,5.3697,6.5510
10.4890,0.4920,0.0349,1.2427,1.2427,1.2427,1.2427,1.4420,3.4089,3.3730,5.8557,7.0550
10.9975,0.5250,0.0333,1.3214,1.3214,1.3214,1.3214,1.5333,3.7228,3.6674,6.4039,7.6169
11.5405,0.5610,0.0317,1.4076,1.4076,1.4076,1.4076,1.6332,4.0748,3.9962,7.0190,8.2393
12.1210,0.6000,0.0302,1.5026,1.5026,1.5026,1.5026,1.7432,4.4715,4.3652,7.7126,8.9322
12.7425,0.6430,0.0287,1.6067,1.6067,1.6067,1.6067,1.8637,4.9177,4.7783,8.4932,9.7014
13.4090,0.6900,0.0273,1.7216,1.7216,1.7216,1.7216,1.9965,5.4225,5.2435,9.3770,10.5604
14.1250,0.7420,0.0259,1.8481,1.8481,1.8481,1.8481,2.1428,5.9937,5.7675,10.3779,11.5193
14.8960,0.8000,0.0245,1.9877,1.9877,1.9877,1.9877,2.3040,6.6416,6.3589,11.5141,12.5916
15.7275,0.8630,0.0232,2.1436,2.1436,2.1436,2.1436,2.4839,7.3844,7.0337,12.8178,13.8049
16.6260,0.9340,0.0219,2.3159,2.3159,2.3159,2.3159,2.6827,8.2310,7.7988,14.3051,15.1670
17.5990,1.0120,0.0207,2.5091,2.5091,2.5091,2.5091,2.9054,9.2070,8.6765,16.0213,16.7151
18.6550,1.1000,0.0195,2.7243,2.7243,2.7243,2.7243,3.1533,10.3293,9.6802,17.9969,18.4678
19.8040,1.1980,0.0183,2.9663,2.9663,2.9663,2.9663,3.4319,11.6313,10.8381,20.2910,20.4700
21.0570,1.3080,0.0172,3.2389,3.2389,3.2389,3.2389,3.7455,13.1459,12.1776,22.9626,22.7621
22.4265,1.4310,0.0161,3.5476,3.5476,3.5476,3.5476,4.1004,14.9186,13.7363,26.0930,25.4018
