z,dz,dm,7.0,7.5,8.0,8.5,9.0,9.5,10.0,10.5,11.0
0.0115,0.0230,2.3192,2.5253,2.5253,2.5253,2.5253,2.5864,2.7611,2.9683,3.1090,3.7497
0.0345,0.0230,0.9030,0.9867,0.9867,0.9867,0.9867,1.0112,1.0780,1.1593,1.2154,1.4709
0.0580,0.0240,0.6710,0.7359,0.7359,0.7359,0.7359,0.7546,0.8033,0.8642,0.9069,1.1015
0.0820,0.0240,0.5982,0.6586,0.6586,0.6586,0.6586,0.6758,0.7184,0.7732,0.8122,0.9901
0.1060,0.0240,0.5635,0.6229,0.6229,0.6229,0.6229,0.6395,0.6789,0.7309,0.7687,0.9407
0.1305,0.0250,0.5320,0.5906,0.5906,0.5906,0.5906,0.6067,0.6431,0.6927,0.7293,0.8961
0.1555,0.0250,0.5159,0.5753,0.5753,0.5753,0.5753,0.5914,0.6260,0.6745,0.7111,0.8773
0.1805,0.0250,0.5028,0.5633,0.5633,0.5633,0.5633,0.5795,0.6124,0.6603,0.6969,0.8635
0.2060,0.0260,0.4829,0.5436,0.5436,0.5436,0.5436,0.5596,0.5906,0.6370,0.6733,0.8379
0.2320,0.0260,0.4725,0.5346,0.5346,0.5346,0.5346,0.5508,0.5804,0.6264,0.6631,0.8289
0.2580,0.0260,0.4630,0.5266,0.5266,0.5266,0.5266,0.5430,0.5714,0.6169,0.6540,0.8213
0.2845,0.0270,0.4466,0.5108,0.5108,0.5108,0.5108,0.5271,0.5538,0.5982,0.6353,0.8016
0.3115,0.0270,0.4382,0.5040,0.5040,0.5040,0.5040,0.5206,0.5461,0.5902,0.6279,0.7961
0.3390,0.0280,0.4234,0.4899,0.4899,0.4899,0.4899,0.5064,0.5305,0.5736,0.6114,0.7791
0.3670,0.0280,0.4157,0.4840,0.4840,0.4840,0.4840,0.5009,0.5239,0.5668,0.6053,0.7753
0.3950,0.0280,0.4085,0.4786,0.4786,0.4786,0.4786,0.4957,0.5178,0.5605,0.5998,0.7723
0.4235,0.0290,0.3954,0.4665,0.4665,0.4665,0.4665,0.4836,0.5044,0.5463,0.5859,0.7584
0.4525,0.0290,0.3887,0.4618,0.4618,0.4618,0.4618,0.4792,0.4991,0.5409,0.5814,0.7567
0.4820,0.0300,0.3766,0.4507,0.4507,0.4507,0.4507,0.4682,0.4871,0.5282,0.5691,0.7447
