z,dz,dm,7.0,7.5,8.0,8.5,9.0,9.5,10.0,10.5,11.0
0.0115,0.0230,10.1279,11.0279,11.0279,11.0279,11.0279,11.2948,12.0578,12.9627,13.5771,16.3750
0.0345,0.0230,3.3886,3.7027,3.7027,3.7027,3.7027,3.7944,4.0452,4.3503,4.5606,5.5194
0.0580,0.0240,2.0134,2.2082,2.2082,2.2082,2.2082,2.2643,2.4105,2.5933,2.7213,3.3053
0.0820,0.0240,1.4572,1.6045,1.6045,1.6045,1.6045,1.6462,1.7500,1.8835,1.9785,2.4121
0.1060,0.0240,1.1641,1.2869,1.2869,1.2869,1.2869,1.3212,1.4025,1.5101,1.5880,1.9434
0.1305,0.0250,0.9704,1.0774,1.0774,1.0774,1.0774,1.1068,1.1732,1.2637,1.3305,1.6348
0.1555,0.0250,0.8534,0.9517,0.9517,0.9517,0.9517,0.9784,1.0356,1.1160,1.1764,1.4514
0.1805,0.0250,0.7734,0.8665,0.8665,0.8665,0.8665,0.8914,0.9421,1.0157,1.0721,1.3283
0.2060,0.0260,0.7044,0.7930,0.7930,0.7930,0.7930,0.8164,0.8616,0.9293,0.9823,1.2224
0.2320,0.0260,0.6611,0.7480,0.7480,0.7480,0.7480,0.7707,0.8121,0.8763,0.9277,1.1597
0.2580,0.0260,0.6281,0.7144,0.7144,0.7144,0.7144,0.7367,0.7751,0.8368,0.8872,1.1142
0.2845,0.0270,0.5927,0.6778,0.6778,0.6778,0.6778,0.6995,0.7349,0.7938,0.8430,1.0637
0.3115,0.0270,0.5716,0.6574,0.6574,0.6574,0.6574,0.6790,0.7123,0.7698,0.8190,1.0384
0.3390,0.0280,0.5456,0.6313,0.6313,0.6313,0.6313,0.6526,0.6836,0.7392,0.7879,1.0040
0.3670,0.0280,0.5309,0.6181,0.6181,0.6181,0.6181,0.6396,0.6690,0.7238,0.7730,0.9901
0.3950,0.0280,0.5184,0.6075,0.6075,0.6075,0.6075,0.6292,0.6572,0.7114,0.7613,0.9802
0.4235,0.0290,0.4999,0.5898,0.5898,0.5898,0.5898,0.6114,0.6377,0.6907,0.7408,0.9589
0.4525,0.0290,0.4903,0.5825,0.5825,0.5825,0.5825,0.6045,0.6296,0.6823,0.7335,0.9545
0.4820,0.0300,0.4746,0.5680,0.5680,0.5680,0.5680,0.5900,0.6138,0.6656,0.7172,0.9384
0.5120,0.0300,0.4668,0.5629,0.5629,0.5629,0.5629,0.5854,0.6081,0.6599,0.7128,0.9380
0.5425,0.0310,0.4531,0.5508,0.5508,0.5508,0.5508,0.5734,0.5949,0.6459,0.6996,0.9259
0.5740,0.0320,0.4403,0.5397,0.5397,0.5397,0.5397,0.5625,0.5829,0.6333,0.6879,0.9157
0.6060,0.0320,0.4341,0.5368,0.5368,0.5368,0.5368,0.5601,0.5798,0.6303,0.6867,0.9196
0.6385,0.0330,0.4226,0.5273,0.5273,0.5273,0.5273,0.5509,0.5696,0.6197,0.6771,0.9123
0.6720,0.0340,0.4117,0.5186,0.5186,0.5186,0.5186,0.5425,0.5604,0.6100,0.6688,0.9066
0.7060,0.0340,0.4065,0.5172,0.5172,0.5172,0.5172,0.5417,0.5591,0.6090,0.6700,0.9138
