z,dz,dm,7.0,7.5,8.0,8.5,9.0,9.5,10.0,10.5,11.0
0.0290,0.0580,1.2796,1.3970,1.3970,1.3970,1.3970,1.4314,1.5265,1.6415,1.7205,2.0805
0.0875,0.0590,0.5183,0.5712,0.5712,0.5712,0.5712,0.5862,0.6229,0.6705,0.7045,0.8597
0.1475,0.0610,0.4005,0.4460,0.4460,0.4460,0.4460,0.4584,0.4855,0.5231,0.5512,0.6791
0.2095,0.0630,0.3569,0.4021,0.4021,0.4021,0.4021,0.4140,0.4368,0.4711,0.4981,0.6202
0.2740,0.0660,0.3293,0.3758,0.3758,0.3758,0.3758,0.3877,0.4075,0.4401,0.4671,0.5882
0.3410,0.0680,0.3110,0.3600,0.3600,0.3600,0.3600,0.3722,0.3898,0.4215,0.4494,0.5728
0.4105,0.0710,0.2938,0.3456,0.3456,0.3456,0.3456,0.3581,0.3737,0.4047,0.4336,0.5599
0.4830,0.0740,0.2788,0.3337,0.3337,0.3337,0.3337,0.3467,0.3606,0.3911,0.4214,0.5515
0.5590,0.0780,0.2636,0.3218,0.3218,0.3218,0.3218,0.3352,0.3476,0.3775,0.4095,0.5436
0.6385,0.0810,0.2513,0.3136,0.3136,0.3136,0.3136,0.3276,0.3388,0.3685,0.4027,0.5426
0.7220,0.0860,0.2374,0.3034,0.3034,0.3034,0.3034,0.3180,0.3281,0.3575,0.3939,0.5388
0.8100,0.0900,0.2258,0.2966,0.2966,0.2966,0.2966,0.3119,0.3212,0.3506,0.3900,0.5417
0.9025,0.0950,0.2141,0.2897,0.2897,0.2897,0.2897,0.3057,0.3146,0.3440,0.3866,0.5455
1.0005,0.1010,0.2024,0.2830,0.2830,0.2830,0.2830,0.2999,0.3087,0.3380,0.3843,0.5507
1.1045,0.1070,0.1916,0.2781,0.2781,0.2781,0.2781,0.2958,0.3050,0.3345,0.3852,0.5603
1.2150,0.1140,0.1811,0.2736,0.2736,0.2736,0.2736,0.2924,0.3023,0.3320,0.3877,0.5722
1.3330,0.1220,0.1707,0.2699,0.2699,0.2699,0.2699,0.2897,0.3009,0.3310,0.3923,0.5871
1.4595,0.1310,0.1607,0.2672,0.2672,0.2672,0.2672,0.2882,0.3013,0.3318,0.3997,0.6057
1.5950,0.1400,0.1516,0.2665,0.2665,0.2665,0.2665,0.2889,0.3048,0.3358,0.4115,0.6307
1.7405,0.1510,0.1424,0.2662,0.2662,0.2662,0.2662,0.2900,0.3095,0.3412,0.4257,0.6588
1.8975,0.1630,0.1337,0.2675,0.2675,0.2675,0.2675,0.2930,0.3171,0.3496,0.4445,0.6930
2.0670,0.1760,0.1256,0.2705,0.2705,0.2705,0.2705,0.2979,0.3281,0.3614,0.4686,0.7345
2.2505,0.1910,0.1176,0.2749,0.2749,0.2749,0.2749,0.3043,0.3421,0.3764,0.4977,0.7826
2.4495,0.2070,0.1101,0.2816,0.2816,0.2816,0.2816,0.3133,0.3607,0.3962,0.5344,0.8409
2.6660,0.2260,0.1028,0.2897,0.2897,0.2897,0.2897,0.3240,0.3832,0.4199,0.5778,0.9074
2.9030,0.2480,0.0957,0.2999,0.2999,0.2999,0.2999,0.3371,0.4110,0.4489,0.6299,0.9850
3.1630,0.2720,0.0891,0.3133,0.3133,0.3133,0.3133,0.3537,0.4461,0.4854,0.6944,1.0783
3.4485,0.2990,0.0828,0.3298,0.3298,0.3298,0.3298,0.3741,0.4893,0.5301,0.7726,1.1887
3.7635,0.3310,0.0766,0.3493,0.3493,0.3493,0.3493,0.3978,0.5415,0.5836,0.8661,1.3171
4.1125,0.3670,0.0709,0.3734,0.3734,0.3734,0.3734,0.4268,0.6061,0.6494,0.9808,1.4710
4.5005,0.4090,0.0653,0.4021,0.4021,0.4021,0.4021,0.4611,0.6851,0.7293,1.1201,1.6533
4.9340,0.4580,0.0601,0.4365,0.4365,0.4365,0.4365,0.5020,0.7823,0.8270,1.2907,1.8712
5.4200,0.5140,0.0551,0.4783,0.4783,0.4783,0.4783,0.5515,0.9034,0.9479,1.5026,2.1355
5.9675,0.5810,0.0504,0.5281,0.5281,0.5281,0.5281,0.6101,1.0530,1.0960,1.7637,2.4529
6.5880,0.6600,0.0459,0.5884,0.5884,0.5884,0.5884,0.6809,1.2407,1.2804,2.0908,2.8405
7.2950,0.7540,0.0416,0.6615,0.6615,0.6615,0.6615,0.7664,1.4778,1.5115,2.5037,3.3173
8.1050,0.8660,0.0376,0.7509,0.7509,0.7509,0.7509,0.8707,1.7806,1.8041,3.0311,3.9099
9.0390,1.0020,0.0339,0.8603,0.8603,0.8603,0.8603,0.9981,2.1700,2.1768,3.7094,4.6506
10.1245,1.1690,0.0303,0.9954,0.9954,0.9954,0.9954,1.1551,2.6767,2.6573,4.5931,5.5868
11.3960,1.3740,0.0270,1.1646,1.1646,1.1646,1.1646,1.3513,3.3475,3.2869,5.7643,6.7898
12.8985,1.6310,0.0239,1.3779,1.3779,1.3779,1.3779,1.5982,4.2462,4.1211,7.3358,8.3511
14.6920,1.9560,0.0210,1.6507,1.6507,1.6507,1.6507,1.9135,5.4732,5.2471,9.4854,10.4133
16.8570,2.3740,0.0183,2.0047,2.0047,2.0047,2.0047,2.3220,7.1803,6.7944,12.4829,13.1834
19.5045,2.9210,0.0159,2.4719,2.4719,2.4719,2.4719,2.8601,9.6097,8.9675,16.7590,16.9806
