z,dz,dm,7.0,7.5,8.0,8.5,9.0,9.5,10.0,10.5,11.0
0.0290,0.0580,0.7473,0.8159,0.8159,0.8159,0.8159,0.8360,0.8915,0.9587,1.0048,1.2150
0.0875,0.0590,0.4008,0.4417,0.4417,0.4417,0.4417,0.4532,0.4817,0.5184,0.5447,0.6647
0.1475,0.0610,0.3507,0.3905,0.3905,0.3905,0.3905,0.4014,0.4250,0.4579,0.4825,0.5946
0.2095,0.0630,0.3252,0.3663,0.3663,0.3663,0.3663,0.3772,0.3980,0.4293,0.4539,0.5651
0.2740,0.0660,0.3035,0.3463,0.3463,0.3463,0.3463,0.3573,0.3756,0.4056,0.4305,0.5422
0.3410,0.0680,0.2869,0.3321,0.3321,0.3321,0.3321,0.3434,0.3596,0.3889,0.4146,0.5285
0.4105,0.0710,0.2703,0.3179,0.3179,0.3179,0.3179,0.3294,0.3438,0.3723,0.3988,0.5150
0.4830,0.0740,0.2552,0.3055,0.3055,0.3055,0.3055,0.3174,0.3302,0.3580,0.3858,0.5049
0.5590,0.0780,0.2401,0.2931,0.2931,0.2931,0.2931,0.3053,0.3166,0.3438,0.3729,0.4951
0.6385,0.0810,0.2276,0.2840,0.2840,0.2840,0.2840,0.2967,0.3068,0.3338,0.3647,0.4914
0.7220,0.0860,0.2138,0.2733,0.2733,0.2733,0.2733,0.2864,0.2955,0.3220,0.3548,0.4853
0.8100,0.0900,0.2023,0.2657,0.2657,0.2657,0.2657,0.2794,0.2878,0.3141,0.3494,0.4853
0.9025,0.0950,0.1908,0.2581,0.2581,0.2581,0.2581,0.2724,0.2804,0.3066,0.3446,0.4861
1.0005,0.1010,0.1794,0.2510,0.2510,0.2510,0.2510,0.2659,0.2737,0.2997,0.3408,0.4883
1.1045,0.1070,0.1691,0.2454,0.2454,0.2454,0.2454,0.2610,0.2691,0.2951,0.3399,0.4944
1.2150,0.1140,0.1590,0.2403,0.2403,0.2403,0.2403,0.2568,0.2655,0.2916,0.3404,0.5025
1.3330,0.1220,0.1492,0.2360,0.2360,0.2360,0.2360,0.2533,0.2631,0.2894,0.3430,0.5133
1.4595,0.1310,0.1399,0.2326,0.2326,0.2326,0.2326,0.2508,0.2623,0.2888,0.3478,0.5272
1.5950,0.1400,0.1314,0.2310,0.2310,0.2310,0.2310,0.2503,0.2641,0.2910,0.3566,0.5466
1.7405,0.1510,0.1229,0.2297,0.2297,0.2297,0.2297,0.2503,0.2671,0.2945,0.3674,0.5685
1.8975,0.1630,0.1150,0.2299,0.2299,0.2299,0.2299,0.2518,0.2726,0.3005,0.3820,0.5956
2.0670,0.1760,0.1075,0.2316,0.2316,0.2316,0.2316,0.2550,0.2809,0.3094,0.4011,0.6288
2.2505,0.1910,0.1003,0.2344,0.2344,0.2344,0.2344,0.2595,0.2917,0.3210,0.4245,0.6675
2.4495,0.2070,0.0936,0.2393,0.2393,0.2393,0.2393,0.2662,0.3065,0.3366,0.4541,0.7144
2.6660,0.2260,0.0870,0.2453,0.2453,0.2453,0.2453,0.2743,0.3244,0.3555,0.4891,0.7682
2.9030,0.2480,0.0807,0.2530,0.2530,0.2530,0.2530,0.2843,0.3467,0.3787,0.5314,0.8309
3.1630,0.2720,0.0749,0.2634,0.2634,0.2634,0.2634,0.2974,0.3750,0.4081,0.5837,0.9064
3.4485,0.2990,0.0693,0.2763,0.2763,0.2763,0.2763,0.3134,0.4100,0.4441,0.6473,0.9959
3.7635,0.3310,0.0640,0.2917,0.2917,0.2917,0.2917,0.3322,0.4522,0.4873,0.7232,1.0998
4.1125,0.3670,0.0590,0.3108,0.3108,0.3108,0.3108,0.3552,0.5045,0.5405,0.8163,1.2243
4.5005,0.4090,0.0542,0.3336,0.3336,0.3336,0.3336,0.3825,0.5684,0.6051,0.9293,1.3717
4.9340,0.4580,0.0497,0.3610,0.3610,0.3610,0.3610,0.4152,0.6470,0.6840,1.0675,1.5476
5.4200,0.5140,0.0454,0.3944,0.3944,0.3944,0.3944,0.4547,0.7449,0.7816,1.2389,1.7608
5.9675,0.5810,0.0414,0.4342,0.4342,0.4342,0.4342,0.5016,0.8657,0.9010,1.4499,2.0165
6.5880,0.6600,0.0376,0.4823,0.4823,0.4823,0.4823,0.5581,1.0169,1.0495,1.7137,2.3283
7.2950,0.7540,0.0340,0.5406,0.5406,0.5406,0.5406,0.6264,1.2078,1.2353,2.0462,2.7111
8.1050,0.8660,0.0307,0.6119,0.6119,0.6119,0.6119,0.7096,1.4511,1.4702,2.4701,3.1863
9.0390,1.0020,0.0275,0.6992,0.6992,0.6992,0.6992,0.8111,1.7635,1.7690,3.0145,3.7793
10.1245,1.1690,0.0246,0.8067,0.8067,0.8067,0.8067,0.9361,2.1693,2.1535,3.7224,4.5277
11.3960,1.3740,0.0218,0.9413,0.9413,0.9413,0.9413,1.0922,2.7056,2.6565,4.6588,5.4877
12.8985,1.6310,0.0193,1.1107,1.1107,1.1107,1.1107,1.2882,3.4228,3.3219,5.9132,6.7316
14.6920,1.9560,0.0169,1.3271,1.3271,1.3271,1.3271,1.5384,4.4002,4.2184,7.6258,8.3718
16.8570,2.3740,0.0147,1.6075,1.6075,1.6075,1.6075,1.8619,5.7577,5.4483,10.009710.5714
19.5045,2.9210,0.0127,1.9771,1.9771,1.9771,1.9771,2.2876,7.6861,7.1725,13.4043,13.5815
