z,dz,dm,7.0,7.5,8.0,8.5,9.0,9.5,10.0,10.5,11.0
4.9840,0.2780,0.0586,0.4341,0.4341,0.4341,0.4341,0.4994,0.7824,0.8264,1.2921,1.8693
5.2725,0.2990,0.0555,0.4565,0.4565,0.4565,0.4565,0.5260,0.8490,0.8928,1.4089,2.0144
5.5825,0.3210,0.0525,0.4824,0.4824,0.4824,0.4824,0.5565,0.9263,0.9695,1.5441,2.1802
5.9155,0.3450,0.0496,0.5114,0.5114,0.5114,0.5114,0.5907,1.0145,1.0567,1.6982,2.3667
6.2740,0.3720,0.0468,0.5435,0.5435,0.5435,0.5435,0.6284,1.1147,1.1553,1.8731,2.5748
6.6610,0.4020,0.0442,0.5795,0.5795,0.5795,0.5795,0.6706,1.2295,1.2676,2.0732,2.8092
7.0795,0.4350,0.0416,0.6200,0.6200,0.6200,0.6200,0.7181,1.3617,1.3965,2.3037,3.0751
7.5330,0.4720,0.0391,0.6654,0.6654,0.6654,0.6654,0.7712,1.5139,1.5439,2.5687,3.3760
8.0260,0.5140,0.0367,0.7163,0.7163,0.7163,0.7163,0.8305,1.6891,1.7129,2.8741,3.7168
8.5630,0.5600,0.0344,0.7743,0.7743,0.7743,0.7743,0.8982,1.8942,1.9096,3.2315,4.1094
9.1490,0.6120,0.0322,0.8399,0.8399,0.8399,0.8399,0.9744,2.1329,2.1373,3.6476,4.5584
9.7905,0.6710,0.0301,0.9141,0.9141,0.9141,0.9141,1.0607,2.4120,2.4019,4.1344,5.0744
10.4945,0.7370,0.0280,0.9991,0.9991,0.9991,0.9991,1.1594,2.7416,2.7127,4.7097,5.6734
11.2695,0.8130,0.0261,1.0958,1.0958,1.0958,1.0958,1.2715,3.1300,3.0765,5.3880,6.3660
12.1260,0.9000,0.0242,1.2067,1.2067,1.2067,1.2067,1.3999,3.5919,3.5063,6.1954,7.1743
13.0755,0.9990,0.0224,1.3351,1.3351,1.3351,1.3351,1.5485,4.1460,4.0187,7.1652,8.1261
14.1315,1.1130,0.0207,1.4838,1.4838,1.4838,1.4838,1.7204,4.8134,4.6315,8.3343,9.2497
15.3110,1.2460,0.0191,1.6565,1.6565,1.6565,1.6565,1.9198,5.6210,5.3677,9.7509,10.5815
16.6345,1.4010,0.0176,1.8588,1.8588,1.8588,1.8588,2.1531,6.6081,6.2608,11.4847,12.1749
18.1260,1.5820,0.0161,2.0975,2.0975,2.0975,2.0975,2.4283,7.8255,7.3538,13.6260,14.0974
19.8155,1.7970,0.0147,2.3801,2.3801,2.3801,2.3801,2.7537,9.3357,8.6986,16.2865,16.4275
21.7400,2.0520,0.0134,2.7183,2.7183,2.7183,2.7183,3.1426,11.2328,10.3735,19.6338,19.2851
23.9445,2.3570,0.0121,3.1259,3.1259,3.1259,3.1259,3.6111,13.6394,12.4795,23.8876,22.8207
