z,dz,dm,7.0,7.5,8.0,8.5,9.0,9.5,10.0,10.5,11.0
4.9840,0.2780,0.0594,0.4398,0.4398,0.4398,0.4398,0.5060,0.7927,0.8373,1.3091,1.8939
5.2725,0.2990,0.0562,0.4626,0.4626,0.4626,0.4626,0.5330,0.8603,0.9046,1.4277,2.0412
5.5825,0.3210,0.0532,0.4888,0.4888,0.4888,0.4888,0.5640,0.9387,0.9825,1.5648,2.2094
5.9155,0.3450,0.0503,0.5183,0.5183,0.5183,0.5183,0.5987,1.0282,1.0710,1.7212,2.3986
6.2740,0.3720,0.0475,0.5509,0.5509,0.5509,0.5509,0.6370,1.1299,1.1710,1.8986,2.6098
6.6610,0.4020,0.0448,0.5874,0.5874,0.5874,0.5874,0.6798,1.2463,1.2850,2.1016,2.8477
7.0795,0.4350,0.0422,0.6286,0.6286,0.6286,0.6286,0.7280,1.3806,1.4158,2.3355,3.1176
7.5330,0.4720,0.0396,0.6747,0.6747,0.6747,0.6747,0.7819,1.5349,1.5654,2.6045,3.4230
8.0260,0.5140,0.0372,0.7263,0.7263,0.7263,0.7263,0.8421,1.7128,1.7369,2.9143,3.7688
8.5630,0.5600,0.0349,0.7852,0.7852,0.7852,0.7852,0.9108,1.9209,1.9365,3.2771,4.1673
9.1490,0.6120,0.0327,0.8518,0.8518,0.8518,0.8518,0.9883,2.1632,2.1676,3.6993,4.6231
9.7905,0.6710,0.0305,0.9272,0.9272,0.9272,0.9272,1.0759,2.4465,2.4362,4.1934,5.1469
10.4945,0.7370,0.0284,1.0135,1.0135,1.0135,1.0135,1.1761,2.7811,2.7517,4.7774,5.7550
11.2695,0.8130,0.0265,1.1116,1.1116,1.1116,1.1116,1.2899,3.1753,3.1210,5.4659,6.4581
12.1260,0.9000,0.0246,1.2243,1.2243,1.2243,1.2243,1.4203,3.6441,3.5574,6.2856,7.2788
13.0755,0.9990,0.0228,1.3546,1.3546,1.3546,1.3546,1.5712,4.2067,4.0776,7.2701,8.2451
14.1315,1.1130,0.0210,1.5057,1.5057,1.5057,1.5057,1.7457,4.8843,4.6997,8.4570,9.3860
15.3110,1.2460,0.0194,1.6810,1.6810,1.6810,1.6810,1.9482,5.7042,5.4472,9.8953,10.7382
16.6345,1.4010,0.0178,1.8865,1.8865,1.8865,1.8865,2.1852,6.7065,6.3541,11.6557,12.3562
18.1260,1.5820,0.0163,2.1290,2.1290,2.1290,2.1290,2.4647,7.9426,7.4640,13.8300,14.3085
19.8155,1.7970,0.0149,2.4159,2.4159,2.4159,2.4159,2.7951,9.4763,8.8296,16.5318,16.6748
21.7400,2.0520,0.0136,2.7594,2.7594,2.7594,2.7594,3.1902,11.4028,10.5306,19.9310,19.5770
23.9445,2.3570,0.0123,3.1735,3.1735,3.1735,3.1735,3.6660,13.8470,12.6695,24.2511,23.1680
