z,dz,dm,7.0,7.5,8.0,8.5,9.0,9.5,10.0,10.5,11.0
 4.7150,0.2600,0.0435,0.2907,0.2907,0.2907,0.2907,0.3339,0.5082,0.5391,0.8348,1.2213
 4.9840,0.2780,0.0411,0.3044,0.3044,0.3044,0.3044,0.3502,0.5486,0.5795,0.9060,1.3108
 5.2725,0.2990,0.0388,0.3192,0.3192,0.3192,0.3192,0.3677,0.5936,0.6242,0.9851,1.4084
 5.5825,0.3210,0.0366,0.3362,0.3362,0.3362,0.3362,0.3879,0.6457,0.6758,1.0763,1.5198
 5.9155,0.3450,0.0345,0.3554,0.3554,0.3554,0.3554,0.4105,0.7051,0.7345,1.1803,1.6449
 6.2740,0.3720,0.0325,0.3767,0.3767,0.3767,0.3767,0.4355,0.7725,0.8006,1.2981,1.7844
 6.6610,0.4020,0.0305,0.4004,0.4004,0.4004,0.4004,0.4634,0.8496,0.8760,1.4327,1.9413
 7.0795,0.4350,0.0287,0.4273,0.4273,0.4273,0.4273,0.4948,0.9384,0.9623,1.5875,2.1191
 7.5330,0.4720,0.0269,0.4573,0.4573,0.4573,0.4573,0.5300,1.0403,1.0610,1.7652,2.3200
 8.0260,0.5140,0.0251,0.4909,0.4909,0.4909,0.4909,0.5692,1.1576,1.1739,1.9697,2.5473
 8.5630,0.5600,0.0235,0.5292,0.5292,0.5292,0.5292,0.6139,1.2947,1.3052,2.2087,2.8087
 9.1490,0.6120,0.0219,0.5725,0.5725,0.5725,0.5725,0.6642,1.4539,1.4569,2.4864,3.1073
 9.7905,0.6710,0.0204,0.6215,0.6215,0.6215,0.6215,0.7212,1.6399,1.6330,2.8109,3.4500
10.4945,0.7370,0.0190,0.6775,0.6775,0.6775,0.6775,0.7862,1.8591,1.8395,3.1936,3.8472
11.2695,0.8130,0.0176,0.7412,0.7412,0.7412,0.7412,0.8600,2.1171,2.0808,3.6443,4.3058
12.1260,0.9000,0.0163,0.8141,0.8141,0.8141,0.8141,0.9445,2.4234,2.3656,4.1799,4.8404
13.0755,0.9990,0.0151,0.8985,0.8985,0.8985,0.8985,1.0421,2.7902,2.7046,4.8221,5.4688
14.1315,1.1130,0.0139,0.9961,0.9961,0.9961,0.9961,1.1549,3.2313,3.1093,5.5950,6.2096
15.3110,1.2460,0.0128,1.1093,1.1093,1.1093,1.1093,1.2857,3.7643,3.5947,6.5301,7.0864
16.6345,1.4010,0.0117,1.2418,1.2418,1.2418,1.2418,1.4385,4.4148,4.1828,7.6728,8.1339
18.1260,1.5820,0.0107,1.3980,1.3980,1.3980,1.3980,1.6185,5.2157,4.9013,9.0817,9.3959
19.8155,1.7970,0.0098,1.5826,1.5826,1.5826,1.5826,1.8310,6.2077,5.7841,10.8296,10.9233
21.7400,2.0520,0.0089,1.8033,1.8033,1.8033,1.8033,2.0848,7.4518,6.8818,13.0251,12.7937
23.9445,2.3570,0.0080,2.0690,2.0690,2.0690,2.0690,2.3901,9.0276,8.2599,15.8106,15.1045
