z,dz,dm,7.0,7.5,8.0,8.5,9.0,9.5,10.0,10.5,11.0
 4.7150,0.2600,0.0661,0.4424,0.4424,0.4424,0.4424,0.5080,0.7732,0.8202,1.2702,1.8582
 4.9840,0.2780,0.0628,0.4649,0.4649,0.4649,0.4649,0.5348,0.8378,0.8850,1.3836,2.0017
 5.2725,0.2990,0.0594,0.4891,0.4891,0.4891,0.4891,0.5636,0.9097,0.9566,1.5096,2.1583
 5.5825,0.3210,0.0563,0.5171,0.5171,0.5171,0.5171,0.5966,0.9930,1.0393,1.6553,2.3373
 5.9155,0.3450,0.0532,0.5485,0.5485,0.5485,0.5485,0.6336,1.0883,1.1335,1.8217,2.5386
 6.2740,0.3720,0.0503,0.5833,0.5833,0.5833,0.5833,0.6745,1.1964,1.2399,2.0103,2.7634
 6.6610,0.4020,0.0474,0.6223,0.6223,0.6223,0.6223,0.7202,1.3203,1.3612,2.2263,3.0166
 7.0795,0.4350,0.0447,0.6662,0.6662,0.6662,0.6662,0.7715,1.4631,1.5004,2.4751,3.3040
 7.5330,0.4720,0.0420,0.7153,0.7153,0.7153,0.7153,0.8290,1.6274,1.6597,2.7613,3.6292
 8.0260,0.5140,0.0395,0.7704,0.7704,0.7704,0.7704,0.8932,1.8167,1.8423,3.0912,3.9975
 8.5630,0.5600,0.0370,0.8332,0.8332,0.8332,0.8332,0.9665,2.0384,2.0549,3.4774,4.4221
 9.1490,0.6120,0.0347,0.9042,0.9042,0.9042,0.9042,1.0491,2.2964,2.3011,3.9271,4.9078
 9.7905,0.6710,0.0324,0.9847,0.9847,0.9847,0.9847,1.1426,2.5982,2.5873,4.4535,5.4660
10.4945,0.7370,0.0302,1.0768,1.0768,1.0768,1.0768,1.2495,2.9547,2.9235,5.0757,6.1143
11.2695,0.8130,0.0281,1.1815,1.1815,1.1815,1.1815,1.3710,3.3749,3.3172,5.8095,6.8640
12.1260,0.9000,0.0261,1.3017,1.3017,1.3017,1.3017,1.5102,3.8748,3.7825,6.6834,7.7394
13.0755,0.9990,0.0242,1.4409,1.4409,1.4409,1.4409,1.6712,4.4747,4.3373,7.7332,8.7703
14.1315,1.1130,0.0224,1.6022,1.6022,1.6022,1.6022,1.8576,5.1974,5.0010,8.9992,9.9877
15.3110,1.2460,0.0206,1.7895,1.7895,1.7895,1.7895,2.0739,6.0722,5.7987,10.5337,11.4310
16.6345,1.4010,0.0190,2.0089,2.0089,2.0089,2.0089,2.3271,7.1418,6.7666,12.4124,13.1583
18.1260,1.5820,0.0174,2.2680,2.2680,2.2680,2.2680,2.6257,8.4614,7.9514,14.7333,15.2431
19.8155,1.7970,0.0159,2.5747,2.5747,2.5747,2.5747,2.9788,10.0989,9.4097,17.6179,17.7704
21.7400,2.0520,0.0145,2.9418,2.9418,2.9418,2.9418,3.4010,12.1564,11.2265,21.2482,20.8708
23.9445,2.3570,0.0131,3.3844,3.3844,3.3844,3.3844,3.9097,14.7674,13.5116,25.8631,24.7080
